artifact,field,data_type,definition,unit,nullable,disclosure_class
data/provenance/restricted_artifact_receipts.csv,sha256,string,Sha256.,,no,public_aggregate_or_metadata
data/provenance/restricted_artifact_receipts.csv,release_status,string,Release status.,,no,public_aggregate_or_metadata
data/provenance/restricted_artifact_receipts.csv,reason_withheld,string,Reason withheld.,,no,public_aggregate_or_metadata
data/provenance/source_chain_receipts.csv,receipt_id,string,Receipt id.,,no,public_aggregate_or_metadata
data/provenance/source_chain_receipts.csv,stage,string,Stage.,,no,public_aggregate_or_metadata
data/provenance/source_chain_receipts.csv,archive_scope,string,Archive scope.,,no,public_aggregate_or_metadata
data/provenance/source_chain_receipts.csv,locked_file_count,integer,Locked file count.,,yes,public_aggregate_or_metadata
data/provenance/source_chain_receipts.csv,interaction_source_count,integer,Interaction source count.,,yes,public_aggregate_or_metadata
data/provenance/source_chain_receipts.csv,episode_rows,integer,Episode rows.,,yes,public_aggregate_or_metadata
data/provenance/source_chain_receipts.csv,conversation_sources,integer,Conversation sources.,,yes,public_aggregate_or_metadata
data/provenance/source_chain_receipts.csv,station_archives,integer,Station archives.,,yes,public_aggregate_or_metadata
data/provenance/source_chain_receipts.csv,input_sha256,string,Input sha256.,,yes,public_aggregate_or_metadata
data/provenance/source_chain_receipts.csv,verification_result,string,Verification result.,,no,public_aggregate_or_metadata
data/provenance/source_chain_receipts.csv,public_interpretation,string,Public interpretation.,,no,public_aggregate_or_metadata
